cod_cnpm|cod_cim|obs|den_produs|forma|concentr|firma|dci|ambalaj|grupa|pret_prod|pret_rid|pret_am|statut_frm|statut_anm|stare
ACCPFI0016|W41466001||ACCUPRO®  20|COMPR. FILM.|20mg|PFIZER EUROPE MA EEIG - MAREA BRITANIE|QUINAPRILUM|Cutie x 3 blistere Al/PA/Al/PVC x 10 comprimate filmate (3 ani)|C09AA06|10.87|12.39|16.75|MP|inovativ|
ACCPFI0024|W41465001||ACCUPRO®  5|COMPR. FILM.|5mg|PFIZER EUROPE MA EEIG - MAREA BRITANIE|QUINAPRILUM|Cutie x 3 blistere Al/PA/Al/PVC x 10 comprimate filmate (3 ani)|C09AA06|5.32|6.07|8.2|MP|inovativ|
ACCPFI0032|W43136001||ACCUZIDE|COMPR. FILM.|10mg/12.5mg|PFIZER EUROPE MA EEIG - MAREA BRITANIE|COMBINATII (QUINAPRILUM + HYDROCHLOROTHIAZIDUM)|Cutie x 3 blistere din Al/PVC-Al-OPA x 10 comprimate filmate (3 ani)|C09BA06|14.07|16.04|21.68|MI|inovativ|
ACCPFI0040|W43137001||ACCUZIDE FORTE|COMPR. FILM.|20mg/12.5mg|PFIZER EUROPE MA EEIG - MAREA BRITANIE|COMBINATII (QUINAPRILUM + HYDROCHLOROTHIAZIDUM)|Cutie x 3 blistere din Al/PVC-Al-OPA x 10 comprimate filmate (3 ani)|C09BA06|20.49|23.36|31.57|MI|inovativ|
ACEANT0017|W14016001||ACECLOFEN|SUPOZ.||ANTIBIOTICE SA - ROMANIA|COMBINATII|Cutie x 2 folii Al/PE x 3 supozitoare (2 ani)|M01AB55|3.89|4.43|5.99|MG|generic|
ACELAR0014|W13855001||ACENOCUMAROL 2mg|COMPR.|2mg|LAROPHARM SRL - ROMANIA|ACENOCUMAROLUM|Cutie x 1 blister x 20 comprimate (2 ani)|B01AA07|2.85|3.25|4.39|MG|generic|
ACEARE0013|W51718001||ACETAZOLAMIDA ARENA 250mg|COMPR.|250mg|ARENA GROUP SA - ROMANIA|ACETAZOLAMIDUM|Cutie x 2 blistere x 10 comprimate (3 ani)|S01EC01|9.4|10.71|14.48|MG|generic|
ACIGED0041|W60558001||ACICLOVIR - RICHTER 200mg|COMPR.|200mg|GEDEON RICHTER ROMANIA SA - ROMANIA|ACICLOVIRUM|Cutie x 2 blistere Al/PVC x 10 comprimate (4 ani)|J05AB01|11.18|12.75|17.23|MG|generic|
ACIEGI0013|W06667003||ACICLOVIR 200mg|COMPR.|200mg|EGIS PHARMACEUTICALS PLC - UNGARIA|ACICLOVIRUM|Cutie x 4 blist. x 5 compr.; (4 ani)|J05AB01|8.96|10.22|13.81|MG|generic|
ACIARM0017|W13972001|!|ACICLOVIR 200mg|COMPR.|200mg|GEDEON RICHTER ROMANIA SA - ROMANIA|ACICLOVIRUM|Cutie x 2 blist. Al/PVC x 10 compr.; (4 ani)|J05AB01|11.18|12.75|17.23|MG|generic|DC
ACISLA0019|W42857001||ACICLOVIR 200mg|CAPS.|200mg|SLAVIA PHARM SRL - ROMANIA|ACICLOVIRUM|Cutie x 2 blistere din Al/PVC x 10 capsule (3 ani)|J05AB01|13.13|14.97|20.23|MG|generic|
ACIEGI0021|W06668003||ACICLOVIR 400mg|COMPR.|400mg|EGIS PHARMACEUTICALS PLC - UNGARIA|ACICLOVIRUM|Cutie x 2 blist. x 5 compr.; (4 ani)|J05AB01|17.64|20.11|27.18|MG|generic|
ACIARM0033|W55641002|!|ACICLOVIR 50mg/g|CREMA|5%|GEDEON RICHTER ROMANIA SA - ROMANIA|ACICLOVIRUM|Cutie x 1 tub x 15g; (3 ani)|D06BB03|4.93|5.62|7.6|MG|generic|DC
ACIARM0041|W55641001|!|ACICLOVIR 50mg/g|CREMA|5%|GEDEON RICHTER ROMANIA SA - ROMANIA|ACICLOVIRUM|Cutie x 1 tub x 5g; (3 ani)|D06BB03|3.23|3.68|4.98|MG|generic|DC
ACIARE0027|W53675001||ACICLOVIR ARENA 200mg|CAPS.|200mg|ARENA GROUP SA - ROMANIA|ACICLOVIRUM|Cutie x 2 blistere din Al/PVC x 10 capsule (3 ani)|J05AB01|13.9|15.85|21.42|MG|generic|
ACIARE0035|W53675003||ACICLOVIR ARENA 200mg|CAPS.|200mg|ARENA GROUP SA - ROMANIA|ACICLOVIRUM|Cutie x 100 blistere din Al/PVC x 10 capsule (3 ani)|J05AB01|674.14|704.14|805.66|MG|generic|
ACIARE0043|W53676001||ACICLOVIR ARENA 400mg|CAPS.|400mg|ARENA GROUP SA - ROMANIA|ACICLOVIRUM|Cutie x 1 blister din Al/PVC x 10 capsule (3 ani)|J05AB01|12.64|14.41|19.48||generic|
ACIFAR0014|W56038001||ACICLOVIR FARMEX 200mg|CAPS.|200mg|FARMEX COMPANY SRL - ROMANIA|ACICLOVIRUM|Cutie x 2 blistere PVC/Al x 10 capsule (3 ani)|J05AB01|13.9|15.85|21.42|MG|generic|
ACIHYP0010|W52146002||ACICLOVIR HYPERION|CREMA|50mg/g|HYPERION SA - ROMANIA|ACICLOVIRUM|Cutie x 1 tub din Al x 15 g crema (1 an)|D06BB03|4.76|5.42|7.33|MG|generic|
ACILAR0010|W53225001||ACICLOVIR LAROPHARM 200mg|COMPR.|200mg|LAROPHARM SRL - ROMANIA|ACICLOVIRUM|Cutie x 2 blistere PVC/Al x 10 comprimate (2 ani)|J05AB01|11.18|12.75|17.23|MG|generic|
ACIMAR0011|W52926001||ACICLOVIR MK|CREMA|5%|FITERMAN PHARMA SRL - ROMANIA|ACICLOVIRUM|Cutie x 1 tub din aluminiu x 7,5g crema (2 ani)|D06BB03|2.72|3.1|4.19|MG|generic|
ACIMAR0029|W52926002||ACICLOVIR MK|CREMA|5%|FITERMAN PHARMA SRL - ROMANIA|ACICLOVIRUM|Cutie x 1 tub din aluminiu x 15g crema (2 ani)|D06BB03|4.37|4.98|6.73|MG|generic|
ACISLA0027|W55128001||ACICLOVIR SLAVIA 50mg/g|CREMA|50mg/g|SLAVIA PHARM SRL - ROMANIA|ACICLOVIRUM|Cutie x 1 tub Al x 15 g crema (2 ani)|D06BB03|4.36|4.97|6.72|MG|generic|
ACISLA0035|W55128002||ACICLOVIR SLAVIA 50mg/g|CREMA|50mg/g|SLAVIA PHARM SRL - ROMANIA|ACICLOVIRUM|Cutie x 1 tub Al x 5g crema|D06BB03|3.5|3.99|5.39|MG|generic|
ACITER0022|W00044001||ACICLOVIR TERAPIA 200mg|COMPR.|200mg|TERAPIA SA - ROMANIA|ACICLOVIRUM|Cutie x 2 blistere Al/PVC x 10 comprimate (2 ani)|J05AB01|11.13|12.69|17.15|MG|generic|
ACITER0030|W58038001||ACICLOVIR TERAPIA 50mg/g|CREMA|50mg/g|TERAPIA SA - ROMANIA|ACICLOVIRUM|Cutie x 1 tub din Al x 15g crema (2 ani)|D06BB03|4.36|4.97|6.72|MG|generic|
ACITIS0024|W53041001||ACICLOVIR TIS 50mg/g|CREMA|50mg/g|TIS FARMACEUTIC SA - ROMANIA|ACICLOVIRUM|Cutie x 1 tub din PEJD x 15g crema (3 ani)|D06BB03|3.05|3.48|4.7|MG|generic|
ACIGED0025|W60557001||ACICLOVIR-RICHTER 50mg/g|CREMA|50mg/g|GEDEON RICHTER ROMANIA SA - ROMANIA|ACICLOVIRUM|Cutie x 1 tub Al x 5g crema (3 ani)|D06BB03|3.23|3.68|4.98|MG|generic|
ACIGED0033|W60557002||ACICLOVIR-RICHTER 50mg/g|CREMA|50mg/g|GEDEON RICHTER ROMANIA SA - ROMANIA|ACICLOVIRUM|Cutie x 1 tub Al x 15g crema (3 ani)|D06BB03|4.93|5.62|7.6|MG|generic|
ACIAUR0019|W58352002||ACID ALENDRONIC AUROBINDO 70mg|COMPR.|70mg|AUROBINDO PHARMA (MALTA) LIMITED - MALTA|ACIDUM ALENDRONICUM|Cutie x blistere transparente PVC-Aclar/Al x 4 comprimate (2 ani)|M05BA04|15.6|17.79|24.04|MG|generic|
ACIARE0051|W58389001||ACID ASCORBIC ARENA 750mg|SOL. INJ.|750mg|ARENA GROUP SA - ROMANIA|ACIDUM ASCORBICUM|Cutie x 5 fiole din sticla bruna x 5ml solutie injectabila (18 luni)|A11GA01|6.4|7.3|9.86|MG|generic|
ACIARE0069|W58389002||ACID ASCORBIC ARENA 750mg|SOL. INJ.|750mg|ARENA GROUP SA - ROMANIA|ACIDUM ASCORBICUM|Cutie x 200 fiole din sticla bruna x 5ml solutie injectabila (18 luni)|A11GA01|257.5|283.25|345.79|MG|generic|
ACIALV0017|W58778001||ACID IBANDRONIC ALVOGEN 3mg|SOL. INJ. IN SERINGA PREUMPLUTA|3mg|ALVOGEN IPCO SARL - LUXEMBURG|ACIDUM IBANDRONICUM|Cutie x 1 seringa preumpluta din sticla incolora + 1 ac pentru injectare x 3ml solutie injectabila|M05BA06|136.15|149.76|182.83|MG|generic|
ACIAUR0027|W60664001||ACID IBANDRONIC AUROBINDO 150mg|COMPR. FILM.|150mg|AUROBINDO PHARMA (MALTA) LIMITED - MALTA|ACIDUM IBANDRONICUM|Cutie x blistere PVC-PE-PVDC/Al x 1 comprimat filmat (2 ani)|M05BA06|26.02|29.66|38.8|MG|generic|
ACIGLE0011|W59829025||ACID IBANDRONIC GLENMARK 50mg|COMPR. FILM.|50mg|GLENMARK PHARMACEUTICALS SRO - REPUBLICA CEHA|ACIDUM IBANDRONICUM|Cutie x blistere PVC/PVDC-Al x 28 comprimate filmate|M05BA06|532.0|562.0|650.73|MG|generic|
ACISAN0021|W58574001||ACID IBANDRONIC SANDOZ 150mg|COMPR. FILM.|150mg|SANDOZ SRL - ROMANIA|ACIDUM IBANDRONICUM|Cutie x 1 blister PA-Al-PVC/Al x 1 comprimat filmat|M05BA06|35.48|40.44|52.9|MG|generic|
ACISAN0013|W57730004||ACID IBANDRONIC SANDOZ 50mg|COMPR. FILM.|50mg|SANDOZ PHARMACEUTICALS GMBH - GERMANIA|ACIDUM IBANDRONICUM|Cutie x blistere Poliamida/Al/PVC-Al x 28 comprimate filmate|M05BA06|489.62|519.62|604.54|MG|generic|
ACITEV0026|W56749001||ACID IBANDRONIC TEVA 150mg|COMPR. FILM.|150mg|TEVA PHARMA BV - OLANDA|ACIDUM IBANDRONICUM|Cutie x blister PVC/Aclar/PVC-Al x 1 comprimat filmat|M05BA06|41.19|46.96|61.42|MG|generic|
ACITEV0034|W58935001||ACID IBANDRONIC TEVA 3mg|SOL. INJ. IN SERINGA PREUMPLUTA|3mg|TEVA PHARMACEUTICALS SRL - ROMANIA|ACIDUM IBANDRONICUM|Cutie x 1 seringa preumpluta din sticla incolora x 3ml solutie injectabila si un ac de injectare (2 ani)|M05BA06|210.93|232.02|283.25|MG|generic|
ACITEV0042|W56748001||ACID IBANDRONIC TEVA 50mg|COMPR. FILM.|50mg|TEVA PHARMA BV - OLANDA|ACIDUM IBANDRONICUM|Cutie x blister PVC/Aclar/PVC-Al x 28 comprimate filmate (2 ani)|M05BA06|607.14|637.14|732.63|MG|generic|
ACITEV0050|W58937001||ACID IBANDRONIC TEVA 6mg|CONC. PT. SOL. PERF.|6mg|TEVA PHARMACEUTICALS SRL - ROMANIA|ACIDUM IBANDRONICUM|Cutie x 1 flacon din sticla incolora cu dop din cauciuc si capsa de culoare turcoaz (albastru verzui) x 6ml concentrat pentru solutie perfuzabila (2ani-dupa ambal., se utiliz. imediat dupa dilutue)|M05BA06|566.39|596.39|688.22|MG|generic|
ACIACT0019|W59588001||ACID ZOLEDRONIC ACTAVIS 4mg/5ml|CONC. PT. SOL. PERF.|4mg/5ml|ACTAVIS GROUP PTC - ISLANDA|ACIDUM ZOLEDRONICUM|Cutie x 1 flacon plastic transparent, incolor, din copolimer cicloolefinic cu dop bromobutil acoperit cu un strat de fluoropolimer si capac Al cu o comp. flip-off din plastic x 5ml|M05BA08|347.22|377.22|449.32|MG|generic|
ACIDRR0028|W60980001||ACID ZOLEDRONIC DR. REDDY'S 4mg/100ml|SOL. PERF.|4mg/100ml|DR. REDDY'S LABORATORIES ROMANIA SRL - ROMANIA|ACIDUM ZOLEDRONICUM|"Cutie x 1 flacon din sticla cu dop din cauciuc clorobutilic, sigilat cu capsa din Al tip ""flip-off"" x 100 ml solutie perfuzabila (2 ani, dupa deschiderea flaconului se utilizeaza imediat)"|M05BA08|270.0|297.0|362.58|MG|generic|
ACIDRR0010|W59520001||ACID ZOLEDRONIC DR. REDDY'S 4mg/5ml|CONC. PT. SOL. PERF.|4mg/5ml|DR. REDDY'S LABORATORIES ROMANIA SRL - ROMANIA|ACIDUM ZOLEDRONICUM|Cutie x 1 flacon din sticla cu capacitate de 5ml concentrat pentru solutie perfuzabila (2 ani dupa amb. pt. com., dupa dilutie - se utilizeaza imediat)|M05BA08|270.0|297.0|362.58|MG|generic|
ACIFRE0022|W59090002||ACID ZOLEDRONIC FRESENIUS KABI 4mg/5ml|CONC. PT. SOL. PERF.|4mg/5ml|FRESENIUS KABI ROMANIA SRL - ROMANIA|ACIDUM ZOLEDRONICUM|Cutie x 4 flacoane PP incolora, inchise cu dop din cauciuc bromobutilic si capsa din Al cu componenta detasabila din plastic x 4mg/5ml concentrat pentru solutie perfuzabila (30 luni dupa amb. pt. comerc; dupa dilutie se utiliz. imediat)|M05BA08|1387.6|1417.59|1583.33|MG|generic|
ACIHOS0026|W60382001||ACID ZOLEDRONIC HOSPIRA 4mg/100ml|SOL. PERF.|4mg/100ml|HOSPIRA UK LIMITED - MAREA BRITANIE|ACIDUM ZOLEDRONICUM|"Cutie x 1 punga din polipropilena de 100ml cu un port ""twist-off"" din polipropilena cu capac si cu un invelis din poliester/polipropilena"|M05BA08|347.22|377.22|449.32|MG|generic|
ACIHOS0018|W59840001||ACID ZOLEDRONIC HOSPIRA 4mg/5ml|CONC. PT. SOL. PERF.|4mg/5ml|HOSPIRA UK LIMITED - MAREA BRITANIE|ACIDUM ZOLEDRONICUM|"Cutie x 1 flacon cu capacitate de 5ml din plastic cu dop bromobutil, acoperit cu un strat de fluoropolimer si capac din Al cu componenta ""flip-off"""|M05BA08|334.11|364.11|435.03|MG|generic|
ACIMED0021|W60215001||ACID ZOLEDRONIC MEDAC 4mg/100ml|SOL. PERF.|4mg|MEDAC GESELLSCAFT - GERMANIA|ACIDUM ZOLEDRONICUM|Cutie x 1 flacon din sticla incolora de tip I cu dop de cauciuc halobutilic acoperit cu un strat de fluoropolimer si capac din Al cu  componentadetasabila din polipropilena x 100ml solutie perfuzabila (30 luni)|M05BA08|492.14|522.14|607.28|MG|generic|
ACIMED0013|W60216001||ACID ZOLEDRONIC MEDAC 4mg/5ml|CONC. PT. SOL. PERF.|4mg|MEDAC GESELLSCAFT - GERMANIA|ACIDUM ZOLEDRONICUM|Cutie x 1 flacon din plastic din copolimer cicloolefinic transparent incolor cu dop din cauciuc bromobutilic de tip I sigilat cu sigiliu detasabil din Al/polipropilena x 5ml concentrat pentru solutie perfuzabila (30 luni)|M05BA08|347.22|377.22|449.32|MG|generic|
ACIPFI0010|W59914001||ACID ZOLEDRONIC PFIZER 4mg/5ml|CONC. PT. SOL. PERF.|4mg/5ml|PFIZER EUROPE MA EEIG - MAREA BRITANIE|ACIDUM ZOLEDRONICUM|Cutie x 1 flacon din PP prevazut cu capsa flip-off din Al ce contine concentrat pentru solutie perfuzabila (3 ani dupa amb. pt. com., dupa dilutie-se utiliz. imediat)|M05BA08|694.49|724.49|827.84|MG|generic|
ACIPOL0014|W59889001||ACID ZOLEDRONIC POLIPHARMA 4mg/5ml|CONC. PT. SOL. PERF.|4mg/5ml|POLIPHARMA INDUSTRIES SRL - ROMANIA|ACIDUM ZOLEDRONICUM|Cutie x 1 flac. din sticla incolora si transaparenta, capac. 8.4ml, prevazut cu dop din cauciuc bromobutilic acoperit cu strat fluoropolimeric si capsa Al, a 5ml conc. pt. sol. perf. (2 ani dupa amb.pt. com., dupa dil. se utiliz. imediat)|M05BA08|347.22|377.22|449.32|MG|generic|
ACIPOL0022|W59889002||ACID ZOLEDRONIC POLIPHARMA 4mg/5ml|CONC. PT. SOL. PERF.|4mg/5ml|POLIPHARMA INDUSTRIES SRL - ROMANIA|ACIDUM ZOLEDRONICUM|Cutie x 4 flacoane din sticla incolora si transparenta, capacitate 8.4ml, prevazut cu dop din cauciuc bromobutilic acoperit cu stat fluoropolimeric cu capsa Al, a 5ml conc. pt. sol. perf. (2 ani dupa amb. pt. com, imediat dupa diluare)|M05BA08|1388.88|1418.88|1584.73|MG|generic|
ACIGED0017|W59044001||ACID ZOLEDRONIC RICHTER 4mg/5ml|CONC. PT. SOL. PERF.|4mg/5ml|GEDEON RICHTER ROMANIA SA - ROMANIA|ACIDUM ZOLEDRONICUM|"Cutie x 1 flacon transparent, incolor din polimer ciclo-olefenic inchis cu dop gri inchis din cauciuc cu strat fluoropolimeric, capsa din Al si sistem ""flip-off"" din plastic rosu x 5ml conc. pt. sol. perf."|M05BA08|694.49|724.49|827.84|MG|generic|
ACISAN0039|W59137001||ACID ZOLEDRONIC SANDOZ 4mg/100ml|CONC. PT. SOL. PERF.|4mg/100ml|SANDOZ SRL - ROMANIA|ACIDUM ZOLEDRONICUM|"Cutie x 1 flacon din plastic transparent, incolor, din copolimer cicloolefinic prevazut cu capac Al cu capsa tip ""flip-off"" x 100ml concentrat pentru solutie perfuzabila (3ani-dupa amb. pt. com, dupa prima desch. se utiliz. imediat)"|M05BA08|347.22|377.22|449.32|MG|generic|
ACISAN0047|W59136001||ACID ZOLEDRONIC SANDOZ 4mg/5ml|CONC. PT. SOL. PERF.|4mg/5ml|SANDOZ SRL - ROMANIA|ACIDUM ZOLEDRONICUM|"Cutie x 1 flacon din plastic transparent, incolor, din copolimer cicloolefinic prevazut cu capac din Al cu capsa tip ""flip-off"" x 5ml concentrat pentru solutie perfuzabila (3 ani dupa amb. pt. com., dupa prima desch. se utiliz. imediat)"|M05BA08|347.22|377.22|449.32|MG|generic|
ACITER0048|W59191004||ACID ZOLEDRONIC TERAPIA 4mg/5ml|CONC. PT. SOL. PERF.|4mg/5ml|TERAPIA SA - ROMANIA|ACIDUM ZOLEDRONICUM|"Cutie x 1 flacon transparent, din sticla cu capacitate de 6ml inchis cu dop din cauciuc de culoare gri si sigilat cu capac din Al, tip ""flip-off"" de culoare gri care contine conc. pt. sol. perf."|M05BA08|694.49|724.49|827.84|MG|generic|
ACITEV0068|W59742004||ACID ZOLEDRONIC TEVA 4mg/5ml|CONC. PT. SOL. PERF.|4mg/5ml|TEVA PHARMA BV - OLANDA|ACIDUM ZOLEDRONICUM|Cutie x 1 flacon din sticla transparenta x 5ml concentrat pentru solutie perfuzabila inchis cu dop din cauciuc clorobutilic / butilic flurotec si capsa din Al cu capac flip-off din plastic (2 ani)|M05BA08|347.14|377.14|449.23|MG|generic|
ACIZEN0024|W59355001||ACID ZOLEDRONIC ZENTIVA 4mg/5ml|SOL. PERF.|4mg/5ml|ZENTIVA KS - REPUBLICA CEHA|ACIDUM ZOLEDRONICUM|"Cutie x 1 flac. din sticla incolora cu dop de cauciuc cu strat din fluoropolimer sigilat cu capsa din Al tip ""flip off"" care cont. conc. pt. sol. perf.(2 ani-dupa amb. pt. com.; se utiliz. imed. dupa desch)"|M05BA08|646.71|676.71|775.76|MG|generic|
ACIZEN0016|W42875001||ACIFOL 5mg|COMPR. FILM.|5mg|ZENTIVA SA - ROMANIA|ACIDUM FOLICUM|Cutie x 1 flacon PEID x 30 comprimate filmate (2 ani)|B03BB01|4.8|5.47|7.4|MG|generic|
ACLNOV0019|W42407001||ACLASTA 5mg/100ml|SOL. PERF.|5mg/100ml|NOVARTIS EUROPHARM LTD - MAREA BRITANIE|ACIDUM ZOLEDRONICUM|Cutie x 1 flacon plastic (polimer cicloolefinic) x 100ml solutie perfuzabila inchis cu un dop din cauciuc bromobutilic acoperit cu fluoro-polimer + 1 capac aluminiu/polipropilena cu componenta flip (30 luni)|M05BA08|1369.71|1399.7|1563.83|MI|inovativ|
ACLKRK0012|W60519003||ACLEXA 100mg|CAPS.|100mg|KRKA D.D. NOVO MESTO - SLOVENIA|CELECOXIBUM|Cutie x blistere PVC/Al x 30 capsule (2 ani)|M01AH01|17.7|20.18|27.27|MG|generic|
ACLKRK0020|W60520003||ACLEXA 200mg|CAPS.|200mg|KRKA D.D. NOVO MESTO - SLOVENIA|CELECOXIBUM|Cutie x blistere PVC/Al x 30 capsule (2 ani)|M01AH01|33.01|37.63|49.22|MG|generic|
ACNMED0018|W60407001||ACNATAC 10mg/g + 0.25mg/g|GEL|10mg/g + 0.25mg/g|MEDA PHARMA GMBH & CO.KG - GERMANIA|COMBINATII (CLINDAMYCINUM + TRETINOINUM)|Cutie x 1 tub din Al cu lac epoxifenolic x 30g gel|D10AF51|74.12|83.01|104.96|MI|inovativ|
ACTACT0018|W59718002||ACTELSAR HCT 80mg/12.5mg|COMPR.|80mg/12.5mg|ACTAVIS GROUP PTC EHF - ISLANDA|COMBINATII (TELMISARTANUM + HYDROCHLOROTHIAZIDUM)|Cutie x blistere Al/Al x 28 comprimate (2 ani)|C09DA07|29.0|33.06|43.24|MG|generic|
ACTACT0026|W59719001||ACTELSAR HCT 80mg/25mg|COMPR.|80mg/25mg|ACTAVIS GROUP PTC EHF - ISLANDA|COMBINATII (TELMISARTANUM + HYDROCHLOROTHIAZIDUM)|Cutie x blistere Al/Al x 28 comprimate (2 ani)|C09DA07|36.0|41.04|53.68|MG|generic|
ACTBOE0017|W00257001||ACTILYSE|PULB. + SOLV. PT. SOL. INJ.|50mg|BOEHRINGER INGELHEIM - GERMANIA|ALTEPLASUM|Cutie x 1 flacon liof.pt.sol.inj.+ 1 flacon solvent(3 ani)|B01AD02|1460.89|1490.89|1663.22|MI|inovativ|
ACTACT0042|W61164001||ACTONEL 75mg|COMPR. FILM.|75mg|ACTAVIS GROUP PTC ehf. - ISLANDA|ACIDUM RISEDRONICUM|Cutie x 1 blister PVC/Al x 2 comprimate filmate (3 ani)|M05BA07|46.06|52.51|66.39|MI|inovativ|
ACTSAN0012|W54976001|!|ACTONEL 75mg|COMPR. FILM.|75mg|SANOFI - AVENTIS ROMANIA SRL - ROMANIA|ACIDUM RISEDRONICUM|Cutie x 1 blister PVC/Al x 2 comprimate filmate (3 ani)|M05BA07|46.06|52.51|66.39|MI|inovativ|DC
ACTACT0034|W61163003||ACTONEL SAPTAMANAL 35mg|COMPR. FILM.|35mg|ACTAVIS GROUP PTC ehf. - ISLANDA|ACIDUM RISEDRONICUM|Cutie x 1 blister PVC/Al x 4 comprimate filmate (3 ani)|M05BA07|28.84|32.87|43.0|MI|inovativ|
ACTAVE0048|W56198003|!|ACTONEL SAPTAMANAL 35mg|COMPR. FILM.|35mg|SANOFI - AVENTIS ROMANIA SRL - ROMANIA|ACIDUM RISEDRONICUM|Cutie x 1 blister PVC/Al x 4 comprimate filmate (3 ani)|M05BA07|45.67|52.06|65.83|MI|inovativ|DC
ACTELI0012|W08069002||ACTOS|COMPR.|15mg|ELI LILLY - S.U.A.|PIOGLITAZONUM|Cutie x 2 blist. x 14 compr. (3 ani)|A10BG03|89.54|100.29|122.43|MI|inovativ|
ACTELI0020|W08070003||ACTOS|COMPR.|30mg|ELI LILLY - S.U.A.|PIOGLITAZONUM|Cutie x 2 blist. x 14 compr. (3 ani)|A10BG03|137.2|150.92|184.24|MI|inovativ|
ACTELI0038|W08071002||ACTOS|COMPR.|45mg|ELI LILLY - S.U.A.|PIOGLITAZONUM|Cutie x 2 blist. x 14 compr. (3 ani)|A10BG03|187.65|206.41|251.99|MI|inovativ|
ACTNYC0112|W02626001||ACTOVEGIN|SOL. INJ.|40mg/ml-5ml|NYCOMED AUSTRIA GmbH - AUSTRIA|DIVERSE|Cutie x 5 fiole x 5ml (5 ani)|A16AXN1|76.77|85.99|108.72|MI|inovativ|
